67,Self-Contained Cycle Parts Company,Value Added Reseller,S,300000.00,30000.00,2021,2022,FR
68,North Bike Company,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,DE
69,Online Bike Catalog,Warehouse,Q,3000000.00,300000.00,2022,2022,AU
70,Outdoor Aerobic Systems Company,Value Added Reseller,S,300000.00,30000.00,2022,2022,GB
71,Outdoor Distributors,Specialty Bike Shop,A,1500000.00,150000.00,NULL,NULL,US
72,Outdoor Equipment Store,Warehouse,Q,3000000.00,300000.00,2021,2022,US
73,Outdoor Sports Supply,Value Added Reseller,S,300000.00,30000.00,2020,2021,US
74,Parcel Express Delivery Service,Specialty Bike Shop,A,1500000.00,150000.00,2020,2020,US
75,Paint Supply,Warehouse,Q,3000000.00,300000.00,2020,2022,US
76,Out-of-the-Way Hotels,Value Added Reseller,S,300000.00,30000.00,NULL,NULL,US
77,Mechanical Products Ltd.,Specialty Bike Shop,A,1500000.00,150000.00,2021,2022,US
78,Preferred Bikes,Warehouse,Q,3000000.00,300000.00,2020,2021,US
79,Reasonable Bicycle Sales,Value Added Reseller,S,300000.00,30000.00,2021,2022,US
80,Racks and Security Systems,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,US
81,Rally Day Mall,Warehouse,Q,3000000.00,300000.00,2020,2022,US
82,Refined Department Stores,Value Added Reseller,S,300000.00,30000.00,NULL,NULL,CA
83,Requisite Part Supply,Specialty Bike Shop,A,1500000.00,150000.00,2019,2020,CA
84,Rewarding Activities Company,Warehouse,Q,3000000.00,300000.00,2020,2022,CA
85,Roadway Bicycle Supply,Value Added Reseller,S,800000.00,80000.00,2022,2022,FR
86,Bicycle Exporters,Specialty Bike Shop,A,1500000.00,150000.00,2021,2022,DE
87,Rich Department Store,Warehouse,Q,3000000.00,300000.00,2022,2022,AU
88,Closest Bicycle Store,Value Added Reseller,S,800000.00,80000.00,2022,2022,GB
89,Riverside Company,Specialty Bike Shop,A,1500000.00,150000.00,2021,2022,US
90,Sales and Supply Company,Warehouse,Q,3000000.00,300000.00,2021,2022,US
91,Scooters and Bikes Store,Value Added Reseller,S,800000.00,80000.00,2020,2020,US
92,Sports Commodities,Specialty Bike Shop,A,1500000.00,150000.00,2020,2020,US
93,Stationary Bikes and Stands,Warehouse,Q,3000000.00,300000.00,2020,2020,US
94,Specialty Sports Store,Value Added Reseller,S,800000.00,80000.00,2020,2022,US
95,Rural Department Store,Specialty Bike Shop,A,1500000.00,150000.00,2021,2022,US
96,More Bikes!,Warehouse,Q,3000000.00,300000.00,2020,2020,US
97,Mountain Bike Center,Value Added Reseller,S,800000.00,80000.00,2021,2022,US
98,Superlative Bikes,Specialty Bike Shop,A,1500000.00,150000.00,2021,2022,US
99,Unified Sports Company,Warehouse,Q,3000000.00,300000.00,2020,2022,US
100,Up-To-Date Sports,Value Added Reseller,S,1000000.00,100000.00,2022,2022,CA
101,Urban Sports Emporium,Specialty Bike Shop,A,1000000.00,100000.00,2021,2022,CA
102,National Manufacturing,Warehouse,Q,3000000.00,300000.00,2020,2021,CA
103,The Bike Outlet,Value Added Reseller,S,800000.00,80000.00,2022,2022,FR
104,Very Best Sports Supply,Specialty Bike Shop,A,1000000.00,100000.00,2022,2022,DE
105,Volume Bike Sellers,Warehouse,Q,3000000.00,300000.00,NULL,NULL,AU
106,West Side Mart,Value Added Reseller,S,800000.00,80000.00,2022,2022,GB
107,Wholesale Bikes,Specialty Bike Shop,A,1000000.00,100000.00,2020,2022,US
108,Wheelsets Storehouse,Warehouse,Q,3000000.00,300000.00,2021,2022,US
109,Travel Sports,Value Added Reseller,S,800000.00,80000.00,2022,2022,US
110,Vintage Sport Boutique,Value Added Reseller,S,300000.00,30000.00,2021,2022,US
111,Westside Cycle Store,Specialty Bike Shop,A,800000.00,80000.00,2020,2021,US
112,Town Industries,Warehouse,Q,1500000.00,150000.00,2022,2022,US
113,Trendy Department Stores,Value Added Reseller,S,300000.00,30000.00,2022,2022,US
114,Two Wheels Cycle Store,Specialty Bike Shop,A,800000.00,80000.00,2020,2020,US
115,Security Racks and Locks Wholesalers,Warehouse,Q,1500000.00,150000.00,2021,2022,US
116,Retirement Activities Association,Value Added Reseller,S,300000.00,30000.00,2020,2022,US
117,Pedals Warehouse,Specialty Bike Shop,A,800000.00,80000.00,2019,2022,US
118,Rapid Bikes,Warehouse,Q,1500000.00,150000.00,2020,2022,CA
119,Red Bicycle Company,Value Added Reseller,S,800000.00,80000.00,2019,2022,CA
120,Machines & Cycles Store,Specialty Bike Shop,A,800000.00,80000.00,2021,2022,CA
121,Metro Sports Equipment,Warehouse,Q,1500000.00,150000.00,2021,2022,FR
122,Off-Price Bike Center,Value Added Reseller,S,800000.00,80000.00,2022,2022,DE
123,First Supplies,Specialty Bike Shop,A,1000000.00,100000.00,2021,2022,AU
124,Nearby Sporting Goods,Warehouse,Q,3000000.00,300000.00,2021,2022,GB
125,Immediate Repair Shop,Value Added Reseller,S,800000.00,80000.00,2020,2022,US
126,Famous Bike Sales and Service,Specialty Bike Shop,A,1000000.00,100000.00,2020,2022,US
127,Front Sporting Goods,Warehouse,Q,3000000.00,300000.00,2021,2021,US
128,Demand Distributors,Value Added Reseller,S,1000000.00,100000.00,2020,2022,US
129,Discount Bicycle Specialists,Specialty Bike Shop,A,1000000.00,100000.00,2020,2020,US
130,Elite Bikes,Warehouse,Q,3000000.00,300000.00,2021,2021,US
131,Eighth Bike Store,Value Added Reseller,S,800000.00,80000.00,2022,2022,US
132,Another Sporting Goods Company,Specialty Bike Shop,A,1500000.00,150000.00,NULL,NULL,US
133,Commercial Sporting Goods,Warehouse,Q,3000000.00,300000.00,2021,2021,US
134,Budget Bike Company,Value Added Reseller,S,800000.00,80000.00,2022,2022,US
135,Wonderful Bikes Inc.,Specialty Bike Shop,A,1500000.00,150000.00,2021,2021,US
136,Wholesale Parts,Warehouse,Q,3000000.00,300000.00,2020,2020,CA
137,Transportation Options,Value Added Reseller,S,800000.00,80000.00,2020,2021,CA
138,South Bike Company,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,CA
139,Steel Inc.,Warehouse,Q,3000000.00,300000.00,2020,2022,FR
140,Teen Discount Store,Value Added Reseller,S,800000.00,80000.00,NULL,NULL,DE
141,Rental Gallery,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,AU
142,Riding Cycles,Warehouse,Q,3000000.00,300000.00,2022,2022,GB
143,Modern Bike Store,Value Added Reseller,S,800000.00,80000.00,2020,2022,US
144,Only Bikes and Accessories,Specialty Bike Shop,A,1500000.00,150000.00,2020,2020,US
145,Raw Materials Inc,Warehouse,Q,3000000.00,300000.00,2020,2020,US
146,Latest Sports Equipment,Value Added Reseller,S,800000.00,80000.00,2019,2022,US
147,Local Hardware Factory,Specialty Bike Shop,A,1500000.00,150000.00,2021,2021,US
148,Lots of Bikes Storehouse,Warehouse,Q,3000000.00,300000.00,2020,2022,US
149,Initial Bike Company,Value Added Reseller,S,800000.00,80000.00,2021,2022,US
150,Fleet Bikes,Specialty Bike Shop,A,1500000.00,150000.00,2021,2021,US
151,Futuristic Bikes,Warehouse,Q,3000000.00,300000.00,2021,2022,US
152,Distance Bikes,Value Added Reseller,S,800000.00,80000.00,2021,2022,US
153,Widget Bicycle Specialists,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,US
154,Camping and Sports Store,Warehouse,Q,3000000.00,300000.00,2022,2022,CA
155,Corner Bicycle Supply,Value Added Reseller,S,800000.00,80000.00,2020,2022,CA
156,Metal Processing Company,Specialty Bike Shop,A,1500000.00,150000.00,2020,2022,CA
157,Ace Bicycle Supply,Warehouse,Q,3000000.00,300000.00,2021,2022,FR
158,Rural Sporting Goods,Value Added Reseller,S,800000.00,80000.00,NULL,NULL,DE
159,Uncompromising Quality Co,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,AU
160,Vigorous Sports Store,Warehouse,Q,3000000.00,300000.00,2021,2022,GB
161,Weekend Tours,Value Added Reseller,S,300000.00,30000.00,2019,2021,US
162,Tire Company,Specialty Bike Shop,A,1500000.00,150000.00,2020,2022,US
163,Sports Merchandise,Warehouse,Q,3000000.00,300000.00,2022,2022,US
164,Suburban Cycle Shop,Value Added Reseller,S,300000.00,30000.00,2020,2022,US
165,Third Bike Store,Specialty Bike Shop,A,1500000.00,150000.00,2021,2022,US
166,Fitness Toy Store,Warehouse,Q,3000000.00,300000.00,2019,2022,US
167,Farthermost Bike Shop,Value Added Reseller,S,300000.00,30000.00,2020,2022,US
168,Economy Bikes Company,Specialty Bike Shop,A,1500000.00,150000.00,2021,2021,US
169,Downtown Hotel,Warehouse,Q,3000000.00,300000.00,2020,2020,US
170,Excellent Riding Supplies,Value Added Reseller,S,300000.00,30000.00,2020,2022,US
171,Eighty Toy Stores,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,US
172,Certified Sports Supply,Warehouse,Q,3000000.00,300000.00,2020,2022,CA
173,Sundry Sporting Goods,Value Added Reseller,S,300000.00,30000.00,2020,2022,CA
174,Toy Manufacturing Inc,Specialty Bike Shop,A,1500000.00,150000.00,NULL,NULL,CA
175,Registered Cycle Store,Warehouse,Q,3000000.00,300000.00,2021,2022,FR
176,Rodeway Bike Store,Value Added Reseller,S,300000.00,30000.00,2022,2022,DE
177,Plastic Products Manufacturers,Specialty Bike Shop,A,1500000.00,150000.00,2021,2022,AU
178,Rampart Amusement Company,Warehouse,Q,3000000.00,300000.00,2022,2022,GB
179,Fourth Bike Store,Value Added Reseller,S,300000.00,30000.00,2022,2022,US
180,Full-Service Bike Store,Specialty Bike Shop,A,1500000.00,150000.00,2020,2020,US
181,Family Entertainment Center,Warehouse,Q,3000000.00,300000.00,2022,2022,US
182,Another Bicycle Company,Value Added Reseller,S,300000.00,30000.00,2022,2022,US
183,This Area Sporting Goods,Specialty Bike Shop,A,1500000.00,150000.00,2020,2022,US
184,Go-cart and Bike Specialists,Warehouse,Q,3000000.00,300000.00,2020,2021,US
185,Weekend Bike Tours,Value Added Reseller,S,300000.00,30000.00,2021,2021,US
186,Thrilling Bike Tours,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,US
187,Trailblazing Sports,Warehouse,Q,3000000.00,300000.00,2020,2022,US
188,Variety Bike Outlet,Value Added Reseller,S,300000.00,30000.00,NULL,NULL,US
189,Principal Bicycle Supply,Specialty Bike Shop,A,1500000.00,150000.00,NULL,NULL,US
190,Racing Partners,Warehouse,Q,3000000.00,300000.00,2022,2022,CA
191,Non-Slip Pedal Company,Value Added Reseller,S,300000.00,30000.00,2020,2022,CA
192,Nuts and Bolts Mfg.,Specialty Bike Shop,A,1500000.00,150000.00,NULL,NULL,CA
193,Perfect Toys,Warehouse,Q,3000000.00,300000.00,2022,2022,FR
194,Mechanical Brake Manufacturers,Value Added Reseller,S,800000.00,80000.00,NULL,NULL,DE
195,Inexpensive Parts Shop,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,AU
196,Exhibition Showroom,Warehouse,Q,3000000.00,300000.00,2021,2022,GB
197,"Fabrikam Inc., West",Value Added Reseller,S,800000.00,80000.00,2021,2022,US
198,Field Trip Inc,Specialty Bike Shop,A,1500000.00,150000.00,2020,2022,US
199,Authorized Bike Sales and Rental,Warehouse,Q,3000000.00,300000.00,2022,2022,US
200,Basic Bike Company,Value Added Reseller,S,800000.00,80000.00,2019,2022,US
201,Unsurpassed Bikes,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,US
202,Two-Seater Bikes,Warehouse,Q,3000000.00,300000.00,2022,2022,US
203,Separate Parts Corporation,Value Added Reseller,S,800000.00,80000.00,2019,2021,US
204,Traction Tire Company,Specialty Bike Shop,A,1500000.00,150000.00,NULL,NULL,US
205,Rally Master Company Inc,Warehouse,Q,3000000.00,300000.00,2021,2022,US
206,New and Used Bicycles,Value Added Reseller,S,800000.00,80000.00,2020,2022,US
207,Lubricant and Grease Suppliers,Specialty Bike Shop,A,1500000.00,150000.00,2021,2022,US
208,Professional Cyclists,Warehouse,Q,3000000.00,300000.00,2020,2021,CA
209,Purple Bicycle Company,Value Added Reseller,S,1000000.00,100000.00,NULL,NULL,CA
210,Gasless Cycle Shop,Specialty Bike Shop,A,1000000.00,100000.00,2020,2022,CA
211,Sports Products Store,Warehouse,Q,3000000.00,300000.00,2021,2022,FR
212,Enterprise Center,Value Added Reseller,S,800000.00,80000.00,2022,2022,DE
213,Fast Bike Works,Specialty Bike Shop,A,1000000.00,100000.00,2022,2022,AU
214,Exclusive Bicycle Mart,Warehouse,Q,3000000.00,300000.00,2021,2022,GB
215,Eleventh Bike Store,Value Added Reseller,S,800000.00,80000.00,2020,2020,US
216,Painters Bicycle Specialists,Specialty Bike Shop,A,1000000.00,100000.00,2020,2022,US
217,City Manufacturing,Warehouse,Q,3000000.00,300000.00,2021,2022,US
218,Sure & Reliable Sporting Goods,Value Added Reseller,S,800000.00,80000.00,2020,2021,US
219,Extras Sporting Goods,Value Added Reseller,S,300000.00,30000.00,2021,2021,US
220,Best o' Bikes,Specialty Bike Shop,A,800000.00,80000.00,2021,2022,US
221,Bike Dealers Association,Warehouse,Q,1500000.00,150000.00,2019,2022,US
222,Sample Bike Store,Value Added Reseller,S,300000.00,30000.00,2020,2021,US
223,Paints and Solvents Company,Specialty Bike Shop,A,800000.00,80000.00,2022,2022,US
224,Pedal Systems Company,Warehouse,Q,1500000.00,150000.00,2021,2021,US
225,Optimal Bikes,Value Added Reseller,S,300000.00,30000.00,2021,2021,US
226,Leisure Activities,Specialty Bike Shop,A,800000.00,80000.00,2021,2021,CA
227,"Health Spa, Limited",Warehouse,Q,1500000.00,150000.00,2019,2022,CA
228,Home Town Bike Store,Value Added Reseller,S,800000.00,80000.00,2022,2022,CA
229,Instant Cycle Store,Specialty Bike Shop,A,800000.00,80000.00,2020,2022,FR
230,Global Bike Retailers,Warehouse,Q,1500000.00,150000.00,2022,2022,DE
231,Helmets and Cycles,Value Added Reseller,S,800000.00,80000.00,2021,2022,AU
232,Exceptional Cycle Services,Specialty Bike Shop,A,1000000.00,100000.00,2021,2022,GB
233,Fashionable Department Stores,Warehouse,Q,3000000.00,300000.00,2021,2022,US
234,Eastside Sporting Goods,Value Added Reseller,S,800000.00,80000.00,2020,2021,US
235,Certified Bicycle Supply,Specialty Bike Shop,A,1000000.00,100000.00,2021,2022,US
236,Closeout Boutique,Warehouse,Q,3000000.00,300000.00,2021,2022,US
237,Client Discount Store,Value Added Reseller,S,1000000.00,100000.00,2021,2022,US
238,A Great Bicycle Company,Specialty Bike Shop,A,1000000.00,100000.00,2020,2022,US
239,Bicycle Merchandise Warehouse,Warehouse,Q,3000000.00,300000.00,2021,2021,US
240,Wire Baskets and Parts,Value Added Reseller,S,800000.00,80000.00,2020,2020,US
241,Vale Riding Supplies,Specialty Bike Shop,A,1500000.00,150000.00,2021,2022,US
242,Spoke Manufacturers,Warehouse,Q,3000000.00,300000.00,2020,2021,US
243,Recreation Supplies,Value Added Reseller,S,800000.00,80000.00,2021,2021,US
244,Retail Discount Store,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,CA
245,Leather Seat Factory,Warehouse,Q,3000000.00,300000.00,2020,2022,CA
246,Large Bike Shop,Value Added Reseller,S,800000.00,80000.00,2020,2021,CA
247,Major Amusement Company,Specialty Bike Shop,A,1500000.00,150000.00,2021,2022,FR
248,Good Bicycle Store,Warehouse,Q,3000000.00,300000.00,2022,2022,DE
249,Helpful Sales and Repair Service,Value Added Reseller,S,800000.00,80000.00,2022,2022,AU
250,Express Bike Services,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,GB
251,Endurance Bikes,Warehouse,Q,3000000.00,300000.00,2022,2022,US
252,Classic Cycle Store,Value Added Reseller,S,800000.00,80000.00,2020,2022,US
253,Roving Sports,Specialty Bike Shop,A,1500000.00,150000.00,2020,2022,US
254,Safe Cycles Shop,Warehouse,Q,3000000.00,300000.00,2021,2022,US
255,Swift Cycles,Value Added Reseller,S,800000.00,80000.00,2020,2022,US
256,Rental Bikes,Specialty Bike Shop,A,1500000.00,150000.00,2020,2022,US
257,Number 1 Supply,Warehouse,Q,3000000.00,300000.00,2021,2022,US
258,Quantity Discounts,Value Added Reseller,S,800000.00,80000.00,2021,2022,US
259,Highway Bike Shop,Specialty Bike Shop,A,1500000.00,150000.00,2020,2022,US
260,Industrial Supplies,Warehouse,Q,3000000.00,300000.00,2022,2022,US
261,Functional Store North,Value Added Reseller,S,800000.00,80000.00,NULL,NULL,US
262,General Industries,Specialty Bike Shop,A,1500000.00,150000.00,2021,2022,CA
263,Farthest Bike Store,Warehouse,Q,3000000.00,300000.00,2022,2022,CA
264,Fasteners & Bolts Outlet,Value Added Reseller,S,800000.00,80000.00,2022,2022,CA
265,Full Sports Supply,Specialty Bike Shop,A,1500000.00,150000.00,2020,2021,FR
266,Excellent Bikes,Warehouse,Q,3000000.00,300000.00,2022,2022,DE
267,Cycle Parts and Accessories,Value Added Reseller,S,800000.00,80000.00,2022,2022,AU
268,Channel Outlet,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,GB
269,Curbside Universe,Warehouse,Q,3000000.00,300000.00,2019,2021,US
270,Active Transport Inc.,Value Added Reseller,S,300000.00,30000.00,2020,2022,US
271,Alternative Vehicles,Specialty Bike Shop,A,1500000.00,150000.00,2020,2020,US
272,Metro Cycle Shop,Warehouse,Q,3000000.00,300000.00,2020,2022,US
273,A Typical Bike Shop,Value Added Reseller,S,300000.00,30000.00,2020,2020,US
274,Active Systems,Specialty Bike Shop,A,1500000.00,150000.00,2020,2021,US
275,Outdoor Sporting Goods,Warehouse,Q,3000000.00,300000.00,2021,2022,US
276,Thrifty Parts and Sales,Value Added Reseller,S,300000.00,30000.00,2022,2022,US
277,The Bicycle Accessories Company,Specialty Bike Shop,A,1500000.00,150000.00,2021,2022,US
278,Tread Industries,Warehouse,Q,3000000.00,300000.00,2020,2020,US
279,Reliable Brake Systems,Value Added Reseller,S,300000.00,30000.00,2020,2020,US
280,Standard Bikes,Specialty Bike Shop,A,1500000.00,150000.00,2021,2022,CA
281,Petroleum Products Distributors,Warehouse,Q,3000000.00,300000.00,2022,2022,CA
282,Quick Parts and Service,Value Added Reseller,S,300000.00,30000.00,2022,2022,CA
283,Racing Supply Distributors,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,FR
284,Nearby Bike Mall,Warehouse,Q,3000000.00,300000.00,2022,2022,DE
285,Nearest Bike Store,Value Added Reseller,S,300000.00,30000.00,2022,2022,AU
286,Number One Bike Co.,Specialty Bike Shop,A,1500000.00,150000.00,2020,2022,GB
287,Handy Bike Services,Warehouse,Q,3000000.00,300000.00,2020,2022,US
288,Kickstand Sellers,Value Added Reseller,S,300000.00,30000.00,2021,2021,US
289,Moderately-Priced Bikes Store,Specialty Bike Shop,A,1500000.00,150000.00,2020,2022,US
290,Friendly Bike Shop,Warehouse,Q,3000000.00,300000.00,2020,2022,US
291,Grand Bicycle Stores,Value Added Reseller,S,300000.00,30000.00,2021,2022,US
292,Grease and Oil Products Company,Specialty Bike Shop,A,1500000.00,150000.00,2019,2022,US
293,Fashionable Bikes and Accessories,Warehouse,Q,3000000.00,300000.00,2020,2022,US
294,Flawless Bike Shop,Value Added Reseller,S,300000.00,30000.00,NULL,NULL,US
295,Engineered Bike Systems,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,US
296,Extreme Toy Store,Warehouse,Q,3000000.00,300000.00,2021,2022,US
297,Blue-Ribbon Bike Company,Value Added Reseller,S,300000.00,30000.00,2022,2022,US
298,City Cycling,Specialty Bike Shop,A,1500000.00,150000.00,NULL,NULL,CA
299,Citywide Service and Repair,Warehouse,Q,3000000.00,300000.00,2020,2022,CA
300,Nice Bikes,Value Added Reseller,S,300000.00,30000.00,2021,2021,CA
301,Rural Mountain Bike Mart,Specialty Bike Shop,A,1500000.00,150000.00,2021,2022,FR
302,Best Cycle Store,Warehouse,Q,3000000.00,300000.00,2021,2022,DE
303,Seaside Bike Works,Value Added Reseller,S,800000.00,80000.00,2022,2022,AU
304,Essential Bike Works,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,GB
305,Professional Sporting Goods,Warehouse,Q,3000000.00,300000.00,2021,2022,US
306,Work and Play Association,Value Added Reseller,S,800000.00,80000.00,2021,2022,US
307,Riding Associates,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,US
308,Rugged Bikes,Warehouse,Q,3000000.00,300000.00,2022,2022,US
309,The Gear Store,Value Added Reseller,S,800000.00,80000.00,2020,2022,US
310,Orange Bicycle Company,Specialty Bike Shop,A,1500000.00,150000.00,2021,2022,US
311,Principal Bike Company,Warehouse,Q,3000000.00,300000.00,2021,2022,US
312,Resale Services,Value Added Reseller,S,800000.00,80000.00,2020,2022,US
313,Metropolitan Manufacturing,Specialty Bike Shop,A,1500000.00,150000.00,2020,2022,US
314,One-Piece Handle Bars,Warehouse,Q,3000000.00,300000.00,2020,2020,US
315,Juvenile Sports Equipment,Value Added Reseller,S,800000.00,80000.00,2019,2021,US
316,Low Price Cycles,Specialty Bike Shop,A,1500000.00,150000.00,2022,2022,CA
317,Finer Riding Supplies,Warehouse,Q,3000000.00,300000.00,2020,2022,CA
318,First-Rate Outlet,Value Added Reseller,S,1000000.00,100000.00,2020,2020,CA
319,Cycles Sales and Repair,Specialty Bike Shop,A,1000000.00,100000.00,2022,2022,FR
320,Amalgamated Parts Shop,Warehouse,Q,3000000.00,300000.00,2021,2022,DE
321,Second Bike Shop,Value Added Reseller,S,800000.00,80000.00,2022,2022,AU
322,Tachometers and Accessories,Specialty Bike Shop,A,1000000.00,100000.00,2021,2022,GB
323,Metro Bike Works,Warehouse,Q,3000000.00,300000.00,2021,2022,US
324,A Bicycle Association,Value Added Reseller,S,800000.00,80000.00,NULL,NULL,US
325,All Cycle Shop,Specialty Bike Shop,A,1000000.00,100000.00,2020,2022,US
326,Year-Round Sports,Warehouse,Q,3000000.00,300000.00,2020,2021,US
327,World of Bikes,Value Added Reseller,S,800000.00,80000.00,2021,2022,US
328,Totes & Baskets Company,Value Added Reseller,S,300000.00,30000.00,2020,2022,US
329,"Unicycles, Bicycles, and Tricycles",Specialty Bike Shop,A,800000.00,80000.00,NULL,NULL,US
